X1,institute,date_debut,date_fin,methode,interroges,question_id,nspp,base,intentions_exprimees,candidates,percentages,lien,survey_id,certitude,remove,z,sum_z
160,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
161,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Melenchon,9,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,1,7
162,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Hidalgo,4,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,1,7
163,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Montebourg,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
164,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Jadot,8,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,1,7
165,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Macron,25,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,1,7
166,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Pecresse,9,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,1,7
167,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Lassalle,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
168,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Asselineau,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
169,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Dupont Aignan,3,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
170,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Poisson,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
171,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Philippot,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
172,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Le Pen,20,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,1,7
173,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Zemmour,13,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,1,7
176,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,0,7
177,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Poutou,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,0,7
178,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,0,7
179,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Melenchon,10,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,1,7
180,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Montebourg,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,0,7
181,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Hidalgo,5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,1,7
182,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Jadot,9,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,1,7
183,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Macron,24,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,1,7
184,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Pecresse,11,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,1,7
185,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Dupont Aignan,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,0,7
186,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Philippot,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,0,7
187,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Le Pen,16,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,1,7
188,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Zemmour,16,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,1,7
189,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Asselineau,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,0,7
190,Harris interactive,2021-11-19,2021-11-22,internet,2120,1,14,I,1823,Lassalle,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,11,NA,0,0,7
199,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,0,7
200,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Poutou,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,0,7
201,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,0,7
202,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Melenchon,9,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,1,7
203,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Montebourg,3,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,0,7
204,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Hidalgo,6,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,1,7
205,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Jadot,8,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,1,7
206,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Macron,24,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,1,7
207,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Pecresse,11,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,1,7
208,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Dupont Aignan,3,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,0,7
209,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Zemmour,12,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,1,7
210,Opinionway,2021-11-15,2021-11-17,internet,1454,1,18,I,1192,Le Pen,20,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,12,NA,0,1,7
213,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,0,7
214,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Poutou,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,0,7
215,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,0,7
216,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Melenchon,10,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,1,7
217,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Montebourg,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,0,7
218,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Hidalgo,4,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,1,7
219,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Jadot,9,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,1,7
220,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Macron,24,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,1,7
221,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Pecresse,10,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,1,7
222,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Dupont Aignan,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,0,7
223,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Philippot,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,0,7
224,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Le Pen,16,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,1,7
225,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Zemmour,17,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,1,7
226,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Asselineau,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,0,7
227,Harris interactive,2021-11-12,2021-11-15,internet,2027,1,14,I,1743,Lassalle,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,13,NA,0,0,7
236,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,NA,0,0,7
237,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Poutou,1.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,NA,0,0,7
238,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Melenchon,7.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,78,0,1,7
239,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Roussel,2.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,NA,0,0,7
240,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Montebourg,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,NA,0,0,7
241,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Hidalgo,5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,60,0,1,7
242,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Jadot,8,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,54,0,1,7
243,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Macron,26,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,71,0,1,7
244,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Pecresse,9,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,53,0,1,7
245,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Dupont Aignan,2.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,NA,0,0,7
246,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Zemmour,15,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,69,0,1,7
247,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Le Pen,18,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,89,0,1,7
248,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Asselineau,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,NA,0,0,7
249,BVA,2021-11-12,2021-11-15,internet,1502,1,16,SV,886,Lassalle,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9242-p-bva-cnews.pdf,14,NA,0,0,7
266,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Poutou,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
267,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
268,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
269,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Melenchon,8,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,1,7
270,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Hidalgo,5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,1,7
271,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Montebourg,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
272,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Jadot,7,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,1,7
273,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Macron,27,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,1,7
274,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Pecresse,11,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,1,7
275,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Lassalle,0.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
276,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Asselineau,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
277,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Dupont Aignan,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
278,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Poisson,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
279,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Philippot,0.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,0,7
280,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Le Pen,18,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,1,7
281,Elabe,2021-11-10,2021-11-10,internet,1352,2,12,SV,951,Zemmour,14,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,15,NA,0,1,7
320,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Arthaud,1,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
321,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Poutou,1,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
322,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Roussel,2,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
323,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Melenchon,10,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,1,7
324,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Montebourg,2,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
325,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Hidalgo,4,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,1,7
326,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Jadot,9,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,1,7
327,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Macron,24,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,1,7
328,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Lagarde,0,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
329,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Pecresse,10,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,1,7
330,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Dupont Aignan,2,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
331,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Philippot,1,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
332,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Le Pen,16,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,1,7
333,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Zemmour,18,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,1,7
334,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Asselineau,0,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
335,Harris interactive,2021-11-05,2021-11-08,internet,2001,2,14,I,1720,Lassalle,0,https://harris-interactive.fr/opinion_polls/barometre-dintentions-de-vote-pour-lelection-presidentielle-de-2022-vague-21/,16,NA,0,0,7
377,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Arthaud,1,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,0,7
378,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Poutou,2.5,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,0,7
379,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Roussel,2,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,0,7
380,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Melenchon,8.5,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,1,7
381,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Jadot,6.5,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,1,7
382,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Montebourg,2,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,0,7
383,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Hidalgo,5,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,1,7
384,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Macron,25,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,1,7
385,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Lassalle,1.5,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,0,7
386,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Pecresse,9,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,1,7
387,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Dupont Aignan,4,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,0,7
388,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Le Pen,18.5,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,1,7
389,Odoxa,2021-11-05,2021-11-08,internet,2756,2,26,SV,1917,Zemmour,14.5,http://www.odoxa.fr/sondage/les-francais-et-le-big-three-nadal-le-prefere-federer-le-meilleur/,17,NA,0,1,7
416,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Arthaud,0.5,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,0,7
417,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Poutou,1,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,0,7
418,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Roussel,2,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,0,7
419,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Melenchon,8,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,1,7
420,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Hidalgo,6,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,1,7
421,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Montebourg,3,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,0,7
422,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Jadot,7,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,1,7
423,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Macron,26,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,1,7
424,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Pecresse,9,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,1,7
425,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Dupont Aignan,3.5,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,0,7
426,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Le Pen,16.5,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,1,7
427,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Zemmour,16.5,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,1,7
428,Ifop,2021-11-03,2021-11-05,internet,1358,2,28,I,978,Lassalle,1,https://www.ifop.com/publication/barometre-de-lelection-presidentielle-vague-6/,18,NA,0,0,7
468,Harris interactive,2021-10-28,2021-10-30,internet,2003,2,14,I,1722,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9231-p-hi-challenges-v20.pdf,19,NA,0,0,7
469,Harris interactive,2021-10-28,2021-10-30,internet,2003,2,14,I,1722,Poutou,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9231-p-hi-challenges-v20.pdf,19,NA,0,0,7
470,Harris interactive,2021-10-28,2021-10-30,internet,2003,2,14,I,1722,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9231-p-hi-challenges-v20.pdf,19,NA,0,0,7
471,Harris interactive,2021-10-28,2021-10-30,internet,2003,2,14,I,1722,Melenchon,10,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9231-p-hi-challenges-v20.pdf,19,NA,0,1,7
