department,candidate,list,votes,percentage
Aveyron,Fabien Lombard,DLF,4 024,3.62
Aveyron,Regis Cailhol,DVG,3 913,3.52
Aveyron,Clotilde Barthelemy,LO,1 824,1.64
Aveyron,Jacqueline Dufour,UDE - Cap21 - PNO,1 540,1.38
Aveyron,Benoît de la Sayette,EXD,822,0.74
Aveyron,Loïc Massebiau,UPR,711,0.64
Aveyron,Danielle Perrenot,ND,682,0.61
Gard,Julien Sanchez,FN,104 929,40.64
Gard,Damien Alary,PS - PRG - MRC - GE,46 068,17.84
Gard,Vincent Bouget,EELV - FG - NGS - POC - ERC,24 292,9.41
Gard,Christophe Rivenq,LR - UDI - MoDem - CPNT,44 533,17.25
Gard,Eric Doulcier,DVG,12 724,4.93
Gard,Jean Isnard,DLF,9 868,3.82
Gard,Christophe Cavard,UDE - Cap21 - PNO,5 359,2.08
Gard,Isabelle Leclerc,LO,4 696,1.82
Gard,Thierry Barnabe,UPR,2 043,0.79
Gard,Jean Miclot,EXD,1 846,0.72
Gard,Gaetan Guichard,ND,1 821,0.71
Haute-Garonne,Carole Delga,PS - PRG - MRC - GE,138 513,31.91
Haute-Garonne,Gerard Onesta,EELV - FG - NGS - POC - ERC,50 635,11.66
Haute-Garonne,Maïthe Carsalade,FN,107 711,24.81
Haute-Garonne,Vincent Terrail-Noves,LR - UDI - MoDem - CPNT,84 796,19.53
Haute-Garonne,Damien Lempereur,DLF,17 046,3.93
Haute-Garonne,Mathide Tolsan,DVG,8 643,1.99
Haute-Garonne,Marie-Ange Billot,UDE - Cap21 - PNO,8 583,1.98
Haute-Garonne,Sandra Torremocha,LO,7 319,1.69
Haute-Garonne,Christophe Rudelle,ND,4 965,1.14
Haute-Garonne,Romain Roumieu,UPR,3 350,0.77
Haute-Garonne,Marie-Claire Danen,EXD,2 556,0.59
Gers,Jean-Louis Guilhaumon,PS - PRG - MRC - GE,22 576,30.24
Gers,Fatma Adda,EELV - FG - NGS - POC - ERC,6 902,9.24
Gers,Jean-Luc Yelma,FN,19 673,26.35
Gers,Gerard Dubrac,LR - UDI - MoDem - CPNT,14 875,19.92
Gers,Bruno Dienot,DLF,4 046,5.42
Gers,Alexis Boudaud Anduaga,UDE - Cap21 - PNO,1 528,2.05
Gers,Tristan Lalanne,LO,1 499,2.01
Gers,Etienne Verret,DVG,1 479,1.98
Gers,Pierre-Henri Laborde,ND,740,0.99
Gers,Bernard Bouhours,UPR,700,0.94
Gers,Virginie Bouguereau,EXD,645,0.86
Herault,Virginie Roziere,PS - PRG - MRC - GE,64 714,16.83
Herault,Muriel Ressiguier,EELV - FG - NGS - POC - ERC,37 392,9.72
Herault,Gerard Prato,FN,138 091,35.9
Herault,Stephan Rossignol,LR - UDI - MoDem - CPNT,60 783,15.8
Herault,Philippe Saurel,DVG,51 084,13.28
Herault,Michel Colas,DLF,12 873,3.35
Herault,Sabria Bouallaga,UDE - Cap21 - PNO,6 012,1.56
Herault,Maurice Chaynes,LO,5 891,1.53
Herault,Gilles Fabre,ND,2 825,0.73
Herault,Jean-Claude Martinez,EXD,2 552,0.66
Herault,Thomas Hirsch,UPR,2 397,0.62
Lot,Vincent Labarthe,PS - PRG - MRC - GE,22 330,31.73
Lot,Marie Pique,EELV - FG - NGS - POC - ERC,8 089,11.5
Lot,Aurelien Pradie,LR - UDI - MoDem - CPNT,15 493,22.02
Lot,Emmanuel Crenne,FN,15 031,21.36
Lot,Bernard Brugalieres,DLF,2 983,4.24
Lot,Marie-Odile Delcamp,DVG,2 256,3.21
Lot,Vincent Combes,LO,1 384,1.97
Lot,Paul Yobo,UDE - Cap21 - PNO,1 236,1.76
Lot,Edouard Foucaud,ND,637,0.91
Lot,Dominique Durand,EXD,486,0.69
Lot,Cyrille Garcia,UPR,441,0.63
Lozere,Aurelie Maillols,PS - PRG - MRC - GE,7 750,24.98
Lozere,Corinne Sauvion,EELV - FG - NGS - POC - ERC,3 042,9.8
Lozere,Jean de Lescure,LR - UDI - MoDem - CPNT,8 408,27.1
Lozere,Jean-Francois Pardigon,FN,7 311,23.56
Lozere,Alain Argilier,DVG,1 621,5.22
Lozere,Loïc Marchand,DLF,1 327,4.28
Lozere,Caroline Poupard,LO,482,1.55
Lozere,Christian Roux,UDE - Cap21 - PNO,419,1.35
Lozere,Magali Comte-Grognard,ND,244,0.79
Lozere,Jean-Luc Bouchereau,EXD,214,0.69
Lozere,Pascal Canet,UPR,209,0.67
Hautes-Pyrenees,Pascale Peraldi,PS - PRG - MRC - GE,25 609,30.4
Hautes-Pyrenees,Yolande Guinle,EELV - FG - NGS - POC - ERC,10 314,12.25
Hautes-Pyrenees,Olivier Monteil,FN,20 226,24.01
Hautes-Pyrenees,Gerard Tremege,LR - UDI - MoDem - CPNT,16 045,19.05
Hautes-Pyrenees,Patrick Saffores,DLF,4 526,5.37
Hautes-Pyrenees,Jean-Pierre Artiganave,DVG,2 127,2.53
Hautes-Pyrenees,Francois Meunier,LO,2 125,2.52
Hautes-Pyrenees,Fabienne Lada,UDE - Cap21 - PNO,1 359,1.61
Hautes-Pyrenees,Jean-Paul Dewaele,ND,690,0.82
Hautes-Pyrenees,Herve Sens,EXD,620,0.74
Hautes-Pyrenees,Robert Aignan,UPR,588,0.7
Pyrenees-Orientales,Jean-Francois Fons,FN,69 688,41.7
Pyrenees-Orientales,Jacques Cresta,PS - PRG - MRC - GE,31 887,19.08
Pyrenees-Orientales,Agnes Langevine,EELV - FG - NGS - POC - ERC,15 879,9.5
Pyrenees-Orientales,Bernard Dupont,LR - UDI - MoDem - CPNT,29 084,17.4
Pyrenees-Orientales,Sebastien Menard,DLF,5 953,3.56
Pyrenees-Orientales,Jean-Louis Demelin,DVG,5 490,3.28
Pyrenees-Orientales,Pascale Advenard,LO,3 345,2
Pyrenees-Orientales,Menouar Benfodda,UDE - Cap21 - PNO,2 334,1.4
Pyrenees-Orientales,Blandine Urbanski,UPR,1 258,0.75
Pyrenees-Orientales,Michel Chastaing,ND,1 115,0.67
Pyrenees-Orientales,Pierre Aloy,EXD,1 098,0.66
Tarn,Claire Fita,PS - PRG - MRC - GE,38 275,25.7
Tarn,Guillaume Cros,EELV - FG - NGS - POC - ERC,14 302,9.61
Tarn,Jean-Paul Piloz,FN,45 901,30.83
Tarn,Bernard Carayon,LR - UDI - MoDem - CPNT,31 265,21
Tarn,Jean-Marc Bardou,DLF,6 821,4.58
Tarn,Pierre Verdier,DVG,4 178,2.81
Tarn,Chantal Tressens,LO,2 724,1.83
Tarn,Laurence Guinamant,UDE - Cap21 - PNO,2 351,1.58
Tarn,Michel Bernadou,ND,1 128,0.76
Tarn,Jean-Francois Lacombe,EXD,979,0.66
Tarn,Reynald Vadepied,UPR,977,0.66
Tarn-et-Garonne,Sylvia Pinel,PS - PRG - MRC - GE,20 668,22.68
Tarn-et-Garonne,Serge Regourd,EELV - FG - NGS - POC - ERC,8 028,8.81
Tarn-et-Garonne,Thierry Viallon,FN,32 478,35.65
Tarn-et-Garonne,Thierry Deville,LR - UDI - MoDem - CPNT,18 260,20.04
Tarn-et-Garonne,Morgan Lenglet,DLF,3 952,4.34
Tarn-et-Garonne,Rose Velay Cambon,DVG,2 389,2.62
Tarn-et-Garonne,Richard Blanco,LO,1 711,1.88
Tarn-et-Garonne,Jerome Piques,UDE - Cap21 - PNO,1 410,1.55
Tarn-et-Garonne,Gerard Jaeger,ND,753,0.83
Tarn-et-Garonne,Pierre Verdier,EXD,738,0.81
Tarn-et-Garonne,Bernard Zanusso,UPR,716,0.79
La Reunion,Didier Robert,LR-UDI-OR,107 281,40.36
La Reunion,Huguette Bello,PLR-PS-EELV-MCR-UDSA,63 248,23.8
La Reunion,Thierry Robert,MoDem,54 021,20.32
La Reunion,Patrick Lebreton,PS-PCR,18 919,7.12
La Reunion,Joseph Grondin,FN,6 355,2.39
La Reunion,Jean-Hugues Ratenon,ARCP,4 484,1.69
La Reunion,Mathias Payet,CTAS,3 895,1.47
La Reunion,Rene-Paul Victoria,LR,2 704,1.02
La Reunion,Aniel Boyer,NR,1 382,0.52
La Reunion,David Appadoo,UPR,1 264,0.48
La Reunion,Jean-Yves Payet,LO,1 263,0.48
La Reunion,Jean-Jack Morel,DLF,978,0.37
Martinique,Serge Letchimy4,PPM-FSM-MPF-BPM-PRM10,47 002,38.96
Martinique,Alfred Marie-Jeanne4,MIM-RDM-Palima-PCM11,36 523,30.28
Martinique,Yan Monplaisir4,LR-MoDem-FMP,17 272,14.32
Martinique,Marcellin Nadeau4,MODEMAS-GRS-CNCP12,7653,6.34
Martinique,Nathalie Jos4,MC,3868,3.21
Martinique,Joseph Virassamy13,DVD,2475,2.05
Martinique,Ghislaine Joachim-Arnaud4,CO,2460,2.04
Martinique,Philippe Petit4,UDI14,1818,1.51
Martinique,Daniel Gromat15,MPTSVM,1558,1.29
Aisne,Paul-Henry Hansen-Catta,FN,87 229,43.55
Aisne,Xavier Bertrand,LR - UDI - MoDem - CNIP - CPNT83,58 111,29.02
Aisne,Anne Ferreira,PS - PRG -  MRC - UDE - MEI - MDP84,27 657,13.81
Aisne,Benoît Roger,PCF - E! - R&S - CC85.86,8 085,4.04
Aisne,Dominique Jourdain,EELV - PG - ND - NGS21,7 881,3.94
Aisne,Philippe Douchain,DLF,4 786,2.39
Aisne,Anne Zanditenas,LO,3 389,1.69
Aisne,William Landa,NC12,2 198,1.1
Aisne,Marcel Marchand,UPR,941,0.47
Oise,Michel Guiniot,FN,122 031,42.08
Oise,Eric Woerth,LR - UDI - MoDem - CNIP - CPNT83,77 746,26.81
Oise,Beatrice Lejeune,PS - PRG -  MRC - UDE - MEI - MDP84,42 695,14.72
Oise,Marie-Laure Darrigade,EELV - PG - ND - NGS21,14 710,5.07
Oise,Thierry Aury,PCF - E! - R&S - CC85.86,12 871,4.44
Oise,Roland Guillaux,DLF,8 334,2.87
Oise,Roland Szpirko,LO,4 688,1.62
Oise,Sebastien Veron,NC12,4 630,1.6
Oise,Kamel Katache,UPR,2 299,0.79
Somme,Sebastien Chenu,FN,93 211,41.02
Somme,Brigitte Foure,LR - UDI - MoDem - CNIP - CPNT83,59 845,26.33
Somme,Nicolas Dumont,PS - PRG -  MRC - UDE - MEI - MDP84,39 239,17.27
Somme,Nathalie Marchand,PCF - E! - R&S - CC85.86,11 137,4.9
Somme,Dominique Theo,EELV - PG - ND - NGS21,9 441,4.15
Somme,Nicolas Lottin,DLF,6 573,2.89
Somme,Bruno Paleni,LO,3 858,1.7
Somme,Thomas Porquet,NC12,2 787,1.23
Somme,Gerard Daulle,UPR,1 163,0.51
Nord,Philippe Eymery,FN,341 833,37.04
Nord,Valerie Letard,LR - UDI - MoDem - CNIP - CPNT83,239 996,26.01
Nord,Pierre de Saintignon,PS - PRG -  MRC - UDE - MEI - MDP84,179 185,19.42
Nord,Fabien Roussel,PCF - E! - R&S - CC85.86,56 194,6.09
Nord,Laurent Matejko,EELV - PG - ND - NGS21,49 596,5.37
Nord,Francois Dubout,DLF,20 335,2.2
Nord,Eric Pecqueur,LO,15 464,1.68
Nord,Sylvain Blondel,NC12,13 724,1.49
Nord,Soufyane Souchi,UPR,6 466,0.7
Pas-de-Calais,Marine Le Pen,FN,264 731,44.38
Pas-de-Calais,Natacha Bouchart,LR - UDI - MoDem - CNIP - CPNT83,122 722,20.57
Pas-de-Calais,Frederic Cuvillier,PS - PRG -  MRC - UDE - MEI - MDP84,116 423,19.52
Pas-de-Calais,Cathy Apourceau-Poly,PCF - E! - R&S - CC85.86,30 794,5.16
Pas-de-Calais,Marine Tondelier,EELV - PG - ND - NGS21,26 365,4.42
Pas-de-Calais,Benoit Dolle,DLF,13 331,2.24
Pas-de-Calais,Francoise Millot,LO,11 642,1.95
Pas-de-Calais,Josette Dautriche,NC12,6 980,1.17
Pas-de-Calais,Eric Mascaro,UPR,3 476,0.58
Eure,Herve Morin,UDI - LR - MoDem - CPNT49.25,58 493,28.37
Eure,Timothee Houssin,FN,69 244,33.58
Eure,Marc-Antoine Jamet,PS - PRG - mdP50,41 827,20.28
Eure,Jean-Luc Lecomte,FG,11 659,5.65
Eure,Laetitia Sanchez,EELV,10 846,5.26
Eure,Nicolas Calbrix,DLF,7 765,3.77
Eure,Melanie Peyraud,LO,3 351,1.63
Eure,Remy Portier,UPR,1 775,0.86
Eure,Yves Soret,ND,1 243,0.6
Seine-Maritime,Nicolas Mayer-Rossignol*,PS - PRG - mdP50,102 783,24.54
Seine-Maritime,Sebastien Jumel51,FG,42 682,10.19
Seine-Maritime,Claude Taleb,EELV,21 960,5.24
Seine-Maritime,Francoise Guegot,UDI - LR - MoDem - CPNT49.25,104 310,24.91
Seine-Maritime,Nicolas Bay,FN,117 266,28
Seine-Maritime,Patrick Bucourt,DLF,14 946,3.57
Seine-Maritime,Valerie Foissey,LO,8 201,1.96
Seine-Maritime,Laurent Montaron,UPR,3 655,0.87
Seine-Maritime,Nicolas Huet de Barros,ND,3 006,0.72
Calvados,Rodolphe Thomas,UDI - LR - MoDem - CPNT49.25,74 194,30.85
Calvados,Raphael Chauvois,PS - PRG - mdP50,57 569,23.94
Calvados,Caroline Amiel,EELV,17 771,7.39
Calvados,Aurelien Guidi,FG,13 411,5.58
Calvados,Christelle Lechevalier,FN,57 524,23.92
Calvados,Anne Boissel,DLF,10 912,4.54
Calvados,Pierre Casevitz,LO,4 357,1.81
Calvados,Florent Herouard,ND,2 423,1.01
Calvados,Terence Domer-Marie,UPR,2 307,0.96
Manche,David Margueritte,UDI - LR - MoDem - CPNT49.25,53 121,30.23
Manche,Stephane Travert,PS - PRG - mdP50,43 161,24.56
Manche,Francois Dufour,EELV,12 179,6.93
Manche,Valerie Varenne,FG,8 796,5.01
Manche,Jean-Jacques Noel,FN,43 117,24.54
Manche,Olivier Pjanic,DLF,8 784,5
Manche,Christophe Garcia,LO,3 168,1.8
Manche,Claude Mace,UPR,1 798,1.02
Manche,Alexandra Lecoeur,ND,1 610,0.92
Orne,Bertrand Deniaud,UDI - LR - MoDem - CPNT49.25,29 239,28.34
Orne,Laurent Beauvais,PS - PRG - mdP50,23 782,23.05
Orne,Yanic Soubien,EELV,7 467,7.24
Orne,Jean-Claude Marie,FG,4 039,3.91
Orne,Lionel Stiefel,FN,29 966,29.04
Orne,Claudine Prod'Homme,DLF,4 984,4.83
Orne,Charlotte Sechet,LO,1 898,1.84
Orne,Jean-Christophe Loutre,UPR,1 102,1.07
Orne,Germain Do Marcolino,ND,707,0.69
Loire-Atlantique,Christophe Clergeau,PS-PRG-UDE-GE-Cap21-ES,143 513,30.64
Loire-Atlantique,Franck Nicolon,EELV,44 157,9.43
Loire-Atlantique,Laurence Garnier,LR-UDI-MoDem-CPNT-MPF,137 503,29.36
Loire-Atlantique,Samuel Potier,FN,83 172,17.76
Loire-Atlantique,Veronique Mahe,PCF-MRC,17 531,3.74
Loire-Atlantique,Sophie Van Goethem,DLF,16 842,3.6
Loire-Atlantique,Gilles Denigot,UDB-MBP-PB,12 497,2.67
Loire-Atlantique,Eddy Le Beller,LO,6 543,1.4
Loire-Atlantique,Alain Parisot,UPR,5 578,0.58
Loire-Atlantique,Chantal Girardin,EXG,988,0.21
Maine-et-Loire,Paul Jeanneteau,LR-UDI-MoDem-CPNT-MPF,87 879,33.69
Maine-et-Loire,Stella Dupont,PS-PRG-UDE-GE-Cap21-ES,64 591,24.77
Maine-et-Loire,Christelle Cardet,EELV,21 419,8.21
Maine-et-Loire,Aymeric Merlaud,FN,57 655,22.11
Maine-et-Loire,Jean-Jacques Guibert,DLF,11 443,4.39
Maine-et-Loire,Alain Pagano,PCF-MRC,8 521,3.27
Maine-et-Loire,Celine L'Huillier,LO,4 332,1.66
Maine-et-Loire,Emmanuel Rouger,UPR,3 696,1.42
Maine-et-Loire,Martine Iliou,UDB-MBP-PB,1 043,0.4
Maine-et-Loire,Samuel Magaud,EXG,232,0.09
Mayenne,Yannick Favennec Becot,UDI-LR-MoDem-CPNT-MPF,35 738,36.05
Mayenne,Jean-Pierre Le Scornet,PS-PRG-UDE-GE-Cap21-ES,22 860,23.06
Mayenne,Mael Rannou,EELV,7 185,7.25
Mayenne,Bruno de la Moriniere,FN,21 771,21.96
Mayenne,Alain Guinoiseau,DLF,4 943,4.99
Mayenne,Aurelien Guillot,PCF-MRC,2 702,2.73
Mayenne,Martine Amelin,LO,1 621,1.64
Mayenne,Luccio Stiz,UPR,1 596,1.61
Mayenne,Marc-Andre Le Lem,UDB-MBP-PB,633,0.64
Mayenne,Frederique Jousselin,EXG,89,0.09
Sarthe,Pascal Gannat,FN,55 405,29.67
Sarthe,Christelle Morancais,LR-UDI-MoDem-CPNT-MPF,47 767,25.58
Sarthe,Olivier Biencourt,PS-PRG-UDE-GE-Cap21-ES,45 187,24.19
Sarthe,Sophie Bringuy,EELV,12 641,6.77
Sarthe,Cecile Bayle de Jesse,DLF,9 828,5.26
Sarthe,Christophe Arnaudy,PCF-MRC,7 395,3.96
Sarthe,Yves Cheere,LO,3 277,1.75
Sarthe,Eric Lemesre,UPR,3 295,1.76
Sarthe,Nelly Guet,UDB-MBP-PB,1 229,0.66
Sarthe,Vincent Picavez,EXG,732,0.39
Vendee,Bruno Retailleau,LR-UDI-MoDem-CPNT-MPF,116 165,45.71
Vendee,Brigitte Neveux,FN,52 930,20.83
Vendee,Stephane Ibarra,PS-PRG-UDE-GE-Cap21-ES,50 663,19.93
Vendee,Lucie Etonno,EELV,13 859,5.45
Vendee,Isabelle Gallot,DLF,8 837,3.48
Vendee,Caroline Pottier,PCF-MRC,6 150,2.42
Vendee,Gilles Robin,LO,2 858,1.12
Vendee,Jocelyn Mathubert,UPR,1 859,0.73
Vendee,Valerie Pelletier,UDB-MBP-PB,698,0.27
Vendee,Christine Picavez,EXG,123,0.05
Alpes-de-Haute-Provence,Jeannine Douzon,FN,24 083,34.91
Alpes-de-Haute-Provence,Eliane Barreille,LR-UDI-MoDem,13 158,19.07
Alpes-de-Haute-Provence,Christophe Castaner,PS-PRG-MRC-UDE,20 467,29.67
Alpes-de-Haute-Provence,Colette Charriau,EELV-PCF-PG-E!,5 127,7.43
Alpes-de-Haute-Provence,Michel Francois,AEI,2 367,3.43
Alpes-de-Haute-Provence,Marie-Anne Baudoui-Maurel,DLF,1 447,2.1
Alpes-de-Haute-Provence,Nathalie Malhole,LO,1 035,1.5
Alpes-de-Haute-Provence,Michel Blume,LS-PDF,478,0.69
Alpes-de-Haute-Provence,Hubert De Pourquery,ND,454,0.66
Alpes-de-Haute-Provence,Paul-Henri Tartanson,UPR,370,0.54
Hautes-Alpes,Amaury Navarranne,FN,19 250,32.58
Hautes-Alpes,Chantal Eymeoud,UDI-LR-MoDem,14 500,24.54
Hautes-Alpes,Christophe Pierrel,PS-PRG-MRC-UDE,13 597,23.01
Hautes-Alpes,Thierry Baud,EELV-PCF-PG-E!,5 569,9.43
Hautes-Alpes,Marcelle Buchlin,AEI,2 617,4.43
Hautes-Alpes,Catherine Mellan,DLF,1 192,2.02
Hautes-Alpes,Frederic Kechra,LO,934,1.58
Hautes-Alpes,Olivier Baudry de Vaux,LS-PDF,513,0.87
Hautes-Alpes,Valerie Mouette,ND,499,0.84
Hautes-Alpes,Judicael Rougon,UPR,411,0.7
Alpes-Maritimes,Christian Estrosi,LR-UDI-MoDem,148 835,37.91
Alpes-Maritimes,Olivier Bettati,FN,148 802,37.9
Alpes-Maritimes,Patrick Allemand,PS-PRG-MRC-UDE,47 481,12.09
Alpes-Maritimes,Cecile Dumas,PCF-PG-E!-EELV,16 961,4.32
Alpes-Maritimes,Jean-Marc Governatori,AEI,14 562,3.71
Alpes-Maritimes,Gael Nofri,DLF,6 933,1.77
Alpes-Maritimes,Daniele Bartoli,LO,3 881,0.99
Alpes-Maritimes,Lydia Schenardi,LS-PDF,1 700,0.49
Alpes-Maritimes,Dominique Manigand Gorzala,ND,1 932,0.43
Alpes-Maritimes,Eric Boizet,UPR,1 537,0.39
Bouches-du-Rhone,Stephane Ravier,FN,259 612,39.87
Bouches-du-Rhone,Renaud Muselier,LR-UDI-MoDem,147 352,22.63
Bouches-du-Rhone,Christophe Madrolle,UDE-PS-PRG-MRC,121 344,18.63
Bouches-du-Rhone,Nathalie Lefebvre,PCF-PG-E!-EELV,56 939,8.74
Bouches-du-Rhone,Ahmed Azouaou,AEI,27 113,4.16
Bouches-du-Rhone,Noel Chuisano,DLF,13 267,2.04
Bouches-du-Rhone,Francois Roche,LO,11 819,1.81
Bouches-du-Rhone,Laurent Comas,LS-PDF,4 943,0.76
Bouches-du-Rhone,Remy Dutherage,ND,4 541,0.7
Bouches-du-Rhone,Daniel Romani,UPR,4 295,0.66
Var,Marc-Etienne Lansade,FN,175 115,44.57
Var,Philippe Vitel,LR-UDI-MoDem,108 364,27.58
Var,Cecile Muschotti,PS-PRG-MRC-UDE,53 164,13.53
Var,Jean-Laurent Felizia,EELV-PCF-PG-E!,18 470,4.7
Var,Olivier Lesage,AEI,16 147,4.11
Var,Erik Tamburi,DLF,8 106,2.06
Var,Renee Defrance,LO,5 287,1.35
Var,Michel de Maynard,LS-PDF,3 515,0.89
Var,Nathalie Eymard,UPR,2 615,0.67
Var,Patrick Boulet,ND,2 133,0.54
Vaucluse,Marion Marechal-Le Pen,FN,92 884,44.23
Vaucluse,Julien Aubert,LR-UDI-MoDem,37 675,17.94
Vaucluse,Christine Lagrange,PS-PRG-MRC-UDE,38 345,18.26
Vaucluse,Emmanuel Serafini,EELV-PCF-PG-E!,13 059,6.22
Vaucluse,Michel Ricodeau,AEI,9 095,4.33
Vaucluse,Jacques Bompard,LS-PDF,8 740,4.16
Vaucluse,Didier Gaulon,DLF,3 655,1.74
Vaucluse,Olivier Josue,LO,3 323,1.58
Vaucluse,Nicolas Stortz,ND,1 717,0.82
Vaucluse,Muriel Hermier,UPR,1 524,0.73
Essonne,Valerie Pecresse,LR - UDI- MoDem- PCD,86 839,23,88
Essonne,Claude Bartolone,PS - PRG - MRC - mdP - UDE,85 681,23,56
Essonne,Emmanuelle Cosse,EE=ELV - Cap21,25 942,7,13
Essonne,Pierre Laurent,FG,21 540,5,92
Essonne,Wallerand de Saint-Just,FN,79 991,22
Essonne,Nicolas Dupont-Aignan,DLF,48 078,13,22
Essonne,Nathalie Arthaud,LO,5 197,1,43
Essonne,Francois Asselineau,UPR,3 112,0,86
Essonne,Aurelien Veron,PLD - GC,2 437,0,67
Essonne,Valerie Sachs,NC,1 500,0,41
Essonne,Dawari Horsfall,Liste d'union citoyenne,1 482,0,41
Essonne,Nizarr Bourchada,UDMF,1 056,0,29
Essonne,Sylvain De Smet,DVE - PP- CVB - CSF,797,0,22
Hauts-de-Seine,Valerie Pecresse,LR - UDI- MoDem- PCD,180 192,39,64
Hauts-de-Seine,Claude Bartolone,PS - PRG - MRC - mdP - UDE,109 345,24,05
Hauts-de-Seine,Emmanuelle Cosse,EELV - Cap21,35 730,7,86
Hauts-de-Seine,Pierre Laurent,FG,25 961,5,71
Hauts-de-Seine,Wallerand de Saint-Just,FN,56 096,12,34
Hauts-de-Seine,Nicolas Dupont-Aignan,DLF,24 159,5,31
Hauts-de-Seine,Nathalie Arthaud,LO,5 195,1,14
Hauts-de-Seine,Valerie Sachs,NC,4 490,0,99
Hauts-de-Seine,Aurelien Veron,PLD - GC,4 468,0,98
Hauts-de-Seine,Francois Asselineau,UPR,4 396,0,97
Hauts-de-Seine,Nizarr Bourchada,UDMF,1 927,0,42
Hauts-de-Seine,Sylvain De Smet,DVE - PP- CVB - CSF,1 340,0,29
Hauts-de-Seine,Dawari Horsfall,Liste d'union citoyenne,1 277,0,28
Paris,Valerie Pecresse,LR - UDI- MoDem- PCD,201 156,32,92
Paris,Claude Bartolone,PS - PRG - MRC - mdP - UDE,192 018,31,42
Paris,Emmanuelle Cosse,EELV - Cap21,66 702,10,92
Paris,Pierre Laurent,FG,41 618,6,81
Paris,Wallerand de Saint-Just,FN,58 982,9,65
Paris,Nicolas Dupont-Aignan,DLF,24 889,4,07
Paris,Nathalie Arthaud,LO,6 583,1,08
Paris,Aurelien Veron,PLD - GC,5 294,0,87
Paris,Francois Asselineau,UPR,4 823,0,79
Paris,Valerie Sachs,NC,4 023,0,66
Paris,Sylvain De Smet,DVE - PP- CVB - CSF,3 289,0,54
Paris,Nizarr Bourchada,UDMF,955,0,16
Paris,Dawari Horsfall,Liste d'union citoyenne,716,0,12
Seine-et-Marne,Wallerand de Saint-Just,FN,114 945,30,93
Seine-et-Marne,Valerie Pecresse,LR - UDI- MoDem- PCD,94 205,25,35
Seine-et-Marne,Claude Bartolone,PS - PRG - MRC - mdP - UDE,75 612,20,34
Seine-et-Marne,Emmanuelle Cosse,EELV - Cap21,23 604,6,35
Seine-et-Marne,Pierre Laurent,FG,18 763,5,05
Seine-et-Marne,Nicolas Dupont-Aignan,DLF,27 714,7,46
Seine-et-Marne,Nathalie Arthaud,LO,6 237,1,68
Seine-et-Marne,Francois Asselineau,UPR,3 893,1,05
Seine-et-Marne,Aurelien Veron,PLD - GC,2 683,0,72
Seine-et-Marne,Valerie Sachs,NC,1 886,0,51
Seine-et-Marne,Nizarr Bourchada,UDMF,1 265,0,34
Seine-et-Marne,Sylvain De Smet,DVE - PP- CVB - CSF,553,0,15
Seine-et-Marne,Dawari Horsfall,Liste d'union citoyenne,316,0,09
Seine-Saint-Denis,Claude Bartolone,PS - PRG - MRC - mdP - UDE,79 935,29,58
Seine-Saint-Denis,Emmanuelle Cosse,EELV - Cap21,19 707,7,29
Seine-Saint-Denis,Pierre Laurent,FG,30 991,11,47
Seine-Saint-Denis,Valerie Pecresse,LR - UDI- MoDem- PCD,57 783,21,38
Seine-Saint-Denis,Wallerand de Saint-Just,FN,54 123,20,03
Seine-Saint-Denis,Nicolas Dupont-Aignan,DLF,11 317,4,19
Seine-Saint-Denis,Nathalie Arthaud,LO,5 771,2,14
Seine-Saint-Denis,Nizarr Bourchada,UDMF,3 519,1,3
Seine-Saint-Denis,Francois Asselineau,UPR,2 835,1,05
Seine-Saint-Denis,Aurelien Veron,PLD - GC,1 339,0,5
Seine-Saint-Denis,Valerie Sachs,NC,1 298,0,48
Seine-Saint-Denis,Sylvain De Smet,DVE - PP- CVB - CSF,868,0,32
Seine-Saint-Denis,Dawari Horsfall,Liste d'union citoyenne,776,0,29
Val-de-Marne,Valerie Pecresse,LR - UDI- MoDem- PCD,95 966,28,49
Val-de-Marne,Claude Bartolone,PS - PRG - MRC - mdP - UDE,84 333,25,03
Val-de-Marne,Pierre Laurent,FG,35 496,10,54
Val-de-Marne,Emmanuelle Cosse,EELV - Cap21,27 866,8,27
Val-de-Marne,Wallerand de Saint-Just,FN,56 574,16,79
Val-de-Marne,Nicolas Dupont-Aignan,DLF,21 516,6,39
Val-de-Marne,Nathalie Arthaud,LO,4 899,1,45
Val-de-Marne,Francois Asselineau,UPR,3 327,0,99
Val-de-Marne,Aurelien Veron,PLD - GC,1 956,0,58
Val-de-Marne,Valerie Sachs,NC,1 690,0,5
Val-de-Marne,Nizarr Bourchada,UDMF,1 306,0,39
Val-de-Marne,Dawari Horsfall,Liste d'union citoyenne,1 175,0,35
Val-de-Marne,Sylvain De Smet,DVE - PP- CVB - CSF,762,0,23
Val-d'Oise,Valerie Pecresse,LR - UDI- MoDem- PCD,78 908,26,6
Val-d'Oise,Wallerand de Saint-Just,FN,74 342,25,06
Val-d'Oise,Claude Bartolone,PS - PRG - MRC - mdP - UDE,70 859,23,89
Val-d'Oise,Emmanuelle Cosse,EELV - Cap21,21 045,7,09
Val-d'Oise,Pierre Laurent,FG,19 719,6,65
Val-d'Oise,Nicolas Dupont-Aignan,DLF,17 522,5,91
Val-d'Oise,Nathalie Arthaud,LO,4 986,1,68
Val-d'Oise,Francois Asselineau,UPR,3 325,1,12
