list,bloc
(PS) puis Divers gauche,Gauche
AEI,Ecologisme
AG,Autonisme
AGEG - PSG,Gauche
ARCP,Gauche
Breizhistance,Gauche radicale et extreme gauche
CIPPA,Autonisme
CL,Autonisme
CO,Autonisme
CTAS,Autonisme
DIG,Autonisme
DLF,Droite radicale et extreme droite
DVD,Droite
DVG,Gauche
DVG - CSD,Gauche
EELV,Ecologisme
EELV - BE,Ecologisme
EELV - Cap2160,Ecologisme
EELV - FG - NGS - POC - ERC,Ecologisme
EELV - PG - E! - ND - NGS,Ecologisme
EELV - PG - ND - NGS21,Ecologisme
EELV - PRG,Ecologisme
EELV *,Ecologisme
EELV-PCF-PG-E!,Ecologisme
EXD,Droite radicale et extreme droite
EXG,Gauche radicale et extreme gauche
FaC,Autonisme
FDG,Gauche
FG,Gauche
FG - MRC- NGS,Gauche
FG62,Gauche
FGPS-CELV-PPDG,Gauche
FLUO (DVE - PP - CVB - CSF71.72),Ecologisme
FN,Droite radicale et extreme droite
FN - RBM,Droite radicale et extreme droite
GR,Gauche
GUSR,Centre
La Vague Citoyenne,Ecologisme
LO,Gauche radicale et extreme gauche
LR,Droite
LR - UDI,Droite
LR - UDI - CCB,Droite
LR - UDI - MoDem,Droite
LR - UDI - MoDem - CNIP - CPNT83,Droite
LR - UDI - MoDem - CPNT,Droite
LR - UDI - MoDem - PCD - CPNT,Droite
LR - UDI - MoDem - PCD56,Droite
LR-MoDem-FMP,Droite
LR-UDI,Droite
LR-UDI-MoDem,Droite
LR-UDI-MoDem-CPNT-MPF,Droite
LR-UDI-OR,Droite
LS-PDF,Droite radicale et extreme droite
MBP - UDB,Gauche
MC,Droite radicale et extreme droite
MDES,Gauche radicale et extreme gauche
MIM-RDM-Palima-PCM11,Autonisme
MoDem,Centre
MODEMAS-GRS-CNCP12,Gauche radicale et extreme gauche
MPTSVM,Autonisme
NC,Centre
NC - PLD - PFE,Centre
NC12,Centre
ND,Gauche
NR,Droite
PB - Indép.,Centre
PCF - E! - R&S - CC85.86,Gauche radicale et extreme gauche
PCF - MRC *,Gauche radicale et extreme gauche
PCF - R&S - MRC,Gauche radicale et extreme gauche
PCF-MRC,Gauche radicale et extreme gauche
PCF-PG-E!-EELV,Gauche radicale et extreme gauche
PCG,Gauche radicale et extreme gauche
PG-PCF-E!,Gauche radicale et extreme gauche
PLD - GC68,Centre
PLR-PS-EELV-MCR-UDSA, Ecologism
PPG,Gauche
PPM-FSM-MPF-BPM-PRM10,Autonisme
PRG,Gauche
PS,Gauche
PS - PRG,Gauche
PS - PRG -  MRC - UDE - MEI - MDP84,Gauche
PS - PRG - mdP50,Gauche
PS - PRG - MRC - GE,Gauche
PS - PRG - MRC - GE- MDP58 - UDE,Gauche
PS - PRG - UDE - GE - Cap21 - MDP,Gauche
PS - PRG- UDE *,Gauche
PS-PCR,Gauche
PS-PRG-MRC-UDE,Gauche
PS-PRG-UDE-GE-Cap21-ES,Gauche
Rinnovu,Gauche radicale et extreme gauche
UC73,Autonisme
UDB-MBP-PB,Gauche
LR-UDI-MoDem-PCD,Droite
PS-PRG-MRC-mdP-UDE,Gauche
PLD-GC,Centre
LUCE,Centre
PB-Indep.,Centre
EELV-Cap21,Ecologisme
EELV-MEI,Ecologisme
FG-MRC-ND,Gauche
PS-PRG-UDE-Cap21-MDP,Gauche
UDE - Cap21 - PNO,Ecologisme
UDE-PS-PRG-MRC,Ecologisme
UDI - LR - MoDem - CPNT49.25,Centre
UDI - LR - MoDem41,Centre
UDI - LR,Droite
DVE-PP-CVB-CSF,Ecologisme
UDI-LR-MoDem,Centre
UDI-LR-MoDem-CPNT-MPF,Centre
PS,Gauche
UDI14,Centre
Autre_Gauche,Gauche
UDMF,Centre
PCF,Gauche radicale et extreme gauche
UL - AEI - PL - PM,Centre
UPLG,Gauche radicale et extreme gauche
UPR,Droite radicale et extreme droite
Walwari - GELV,Gauche
Corsica libera, Gauche radicale et extreme gauche
CiF,Gauche radicale et extreme gauche
