department;liste;candidate;votes;percentage_inscriped;percentage_expressed;bloc
Manche;NORMANDIE TERRE D'AVENIR;BONNATERRE Laurent;12847;3,38;10,93;Centre
Orne;NORMANDIE TERRE D'AVENIR;BONNATERRE Laurent;6279;3,06;9,4;Centre
Seine-Maritime;NORMANDIE TERRE D'AVENIR;BONNATERRE Laurent;33758;3,87;12,51;Centre
Charente;NTNE-AR;ROUSSET Alain;21877;8,61;27,41;Gauche
Charente-Maritime;NTNE-AR;ROUSSET Alain;37496;7,46;23,22;Gauche
Correze;NTNE-AR;ROUSSET Alain;19279;10,51;26,72;Gauche
Creuse;NTNE-AR;ROUSSET Alain;9572;10,55;28,69;Gauche
Dordogne;NTNE-AR;ROUSSET Alain;39642;12,71;33,22;Gauche
Gironde;NTNE-AR;ROUSSET Alain;111801;10,03;30,95;Gauche
Landes;NTNE-AR;ROUSSET Alain;40376;12,67;32,88;Gauche
Lot-et-Garonne;NTNE-AR;ROUSSET Alain;22126;9,27;25,08;Gauche
Pyrenees-Atlantiques;NTNE-AR;ROUSSET Alain;55730;11,01;29,75;Gauche
Deux-Sevres;NTNE-AR;ROUSSET Alain;20508;7,62;25,31;Gauche
Vienne;NTNE-AR;ROUSSET Alain;23492;7,76;24,45;Gauche
Haute-Vienne;NTNE-AR;ROUSSET Alain;28760;11,05;31,67;Gauche
Charente;NTNA;THIERRY Nicolas;9485;3,73;11,88;Centre
Charente-Maritime;NTNA;THIERRY Nicolas;22555;4,49;13,97;Centre
Correze;NTNA;THIERRY Nicolas;7125;3,89;9,87;Centre
Creuse;NTNA;THIERRY Nicolas;3253;3,58;9,75;Centre
Dordogne;NTNA;THIERRY Nicolas;11968;3,84;10,03;Centre
Gironde;NTNA;THIERRY Nicolas;44946;4,03;12,44;Centre
Landes;NTNA;THIERRY Nicolas;9303;2,92;7,58;Centre
Lot-et-Garonne;NTNA;THIERRY Nicolas;7914;3,32;8,97;Centre
Pyrenees-Atlantiques;NTNA;THIERRY Nicolas;24633;4,87;13,15;Centre
Deux-Sevres;NTNA;THIERRY Nicolas;13501;5,01;16,66;Centre
Vienne;NTNA;THIERRY Nicolas;15579;5,15;16,21;Centre
Haute-Vienne;NTNA;THIERRY Nicolas;10289;3,95;11,33;Centre
Alpes-de-Haute-Provence;NOTRE REGION D'ABORD;MUSELIER Renaud;15282;12,1;31,73;Droite
Hautes-Alpes;NOTRE REGION D'ABORD;MUSELIER Renaud;16687;14,96;37,78;Droite
Alpes-Maritimes;NOTRE REGION D'ABORD;MUSELIER Renaud;86991;11,48;34,86;Droite
Bouches-du-Rhone;NOTRE REGION D'ABORD;MUSELIER Renaud;130416;9,42;30,48;Droite
Var;NOTRE REGION D'ABORD;MUSELIER Renaud;84630;10,63;33,51;Droite
Vaucluse;NOTRE REGION D'ABORD;MUSELIER Renaud;34931;8,65;26,12;Droite
Cote-d'Or;NOTRE REGION PAR COEUR;DUFAY Marie-Guite;30658;8,56;24,68;Gauche
Doubs;NOTRE REGION PAR COEUR;DUFAY Marie-Guite;38052;10,49;32,17;Gauche
Jura;NOTRE REGION PAR COEUR;DUFAY Marie-Guite;18473;9,87;29,25;Gauche
Nievre;NOTRE REGION PAR COEUR;DUFAY Marie-Guite;11588;7,5;23,2;Gauche
Haute-Saone;NOTRE REGION PAR COEUR;DUFAY Marie-Guite;19428;11;29,1;Gauche
Saone-et-Loire;NOTRE REGION PAR COEUR;DUFAY Marie-Guite;30359;7,6;24,42;Gauche
Yonne;NOTRE REGION PAR COEUR;DUFAY Marie-Guite;17789;7,55;22,78;Gauche
Territoire de Belfort;NOTRE REGION PAR COEUR;DUFAY Marie-Guite;7046;7,59;24,15;Gauche
Guadeloupe;NOU;SELBONNE Ronald;8591;2,71;9,39;Gauche radicale et extreme gauche
Martinique;NOU KA FE YONN;BELLAY Beatrice;3407;1,11;3,56;Gauche
Cotes-d'Armor;NOUS LA BRETAGNE;BURLOT Thierry;30318;6,58;17,69;Centre
Finistere;NOUS LA BRETAGNE;BURLOT Thierry;34166;4,93;14,51;Centre
Ille-et-Vilaine;NOUS LA BRETAGNE;BURLOT Thierry;35757;4,78;14,36;Centre
Morbihan;NOUS LA BRETAGNE;BURLOT Thierry;31979;5,4;16,37;Centre
Cher;NOUVEAU SOUFFLE;FOURNIER Charles;6167;2,76;8,81;Ecologisme
Eure-et-Loir;NOUVEAU SOUFFLE;FOURNIER Charles;9504;3,15;10,38;Ecologisme
Indre;NOUVEAU SOUFFLE;FOURNIER Charles;5280;3,18;9,4;Ecologisme
Indre-et-Loire;NOUVEAU SOUFFLE;FOURNIER Charles;17712;4,1;13,86;Ecologisme
Loir-et-Cher;NOUVEAU SOUFFLE;FOURNIER Charles;8585;3,54;10,42;Ecologisme
Loiret;NOUVEAU SOUFFLE;FOURNIER Charles;14442;3,21;10,25;Ecologisme
La Reunion;NOUVEL AVENIR;BAREIGTS Ericka;42682;6,38;18,48;Gauche
Ariege;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;3708;3,15;7,8;Centre
Aude;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;7017;2,56;6,8;Centre
Aveyron;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;9836;4,52;11,01;Centre
Gard;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;12509;2,3;7,19;Centre
Haute-Garonne;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;39343;4,38;12,27;Centre
Gers;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;5581;3,84;9,02;Centre
Herault;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;18321;2,23;6,95;Centre
Lot;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;3592;2,63;6,23;Centre
Lozere;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;1450;2,44;5,36;Centre
Hautes-Pyrenees;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;6852;3,89;10,35;Centre
Pyrenees-Orientales;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;7343;2,07;6,18;Centre
Tarn;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;10791;3,68;9,87;Centre
Tarn-et-Garonne;NVEL eLAN PR L'OCCITANIE;TERRAIL-NOVeS Vincent;6144;3,32;8,75;Centre
La Reunion;OBJECTIF RE'UNION;ROBERT Didier;71798;10,74;31,09;Droite
Ariege;OCCITANIE POP;MARTIN Myriam;3967;3,37;8,34;Gauche radicale et extreme gauche
Aude;OCCITANIE POP;MARTIN Myriam;5690;2,08;5,52;Gauche radicale et extreme gauche
Aveyron;OCCITANIE POP;MARTIN Myriam;4012;1,84;4,49;Gauche radicale et extreme gauche
Gard;OCCITANIE POP;MARTIN Myriam;7873;1,45;4,53;Gauche radicale et extreme gauche
Haute-Garonne;OCCITANIE POP;MARTIN Myriam;17412;1,94;5,43;Gauche radicale et extreme gauche
Gers;OCCITANIE POP;MARTIN Myriam;2804;1,93;4,53;Gauche radicale et extreme gauche
Herault;OCCITANIE POP;MARTIN Myriam;13551;1,65;5,14;Gauche radicale et extreme gauche
Lot;OCCITANIE POP;MARTIN Myriam;2978;2,18;5,17;Gauche radicale et extreme gauche
Lozere;OCCITANIE POP;MARTIN Myriam;1114;1,88;4,12;Gauche radicale et extreme gauche
Hautes-Pyrenees;OCCITANIE POP;MARTIN Myriam;3424;1,94;5,17;Gauche radicale et extreme gauche
Pyrenees-Orientales;OCCITANIE POP;MARTIN Myriam;5188;1,46;4,37;Gauche radicale et extreme gauche
Tarn;OCCITANIE POP;MARTIN Myriam;5458;1,86;4,99;Gauche radicale et extreme gauche
Tarn-et-Garonne;OCCITANIE POP;MARTIN Myriam;2910;1,57;4,14;Gauche radicale et extreme gauche
Charente;OEL;GUETTe Clemence;4937;1,94;6,19;Gauche radicale et extreme gauche
Charente-Maritime;OEL;GUETTe Clemence;9125;1,82;5,65;Gauche radicale et extreme gauche
Correze;OEL;GUETTe Clemence;3610;1,97;5;Gauche radicale et extreme gauche
Creuse;OEL;GUETTe Clemence;2295;2,53;6,88;Gauche radicale et extreme gauche
Dordogne;OEL;GUETTe Clemence;7418;2,38;6,22;Gauche radicale et extreme gauche
Gironde;OEL;GUETTe Clemence;20036;1,8;5,55;Gauche radicale et extreme gauche
Landes;OEL;GUETTe Clemence;4963;1,56;4,04;Gauche radicale et extreme gauche
Lot-et-Garonne;OEL;GUETTe Clemence;4721;1,98;5,35;Gauche radicale et extreme gauche
Pyrenees-Atlantiques;OEL;GUETTe Clemence;8762;1,73;4,68;Gauche radicale et extreme gauche
Deux-Sevres;OEL;GUETTe Clemence;5963;2,21;7,36;Gauche radicale et extreme gauche
Vienne;OEL;GUETTe Clemence;6891;2,28;7,17;Gauche radicale et extreme gauche
Haute-Vienne;OEL;GUETTe Clemence;5909;2,27;6,51;Gauche radicale et extreme gauche
Paris;OSER L'eCOLOGIE;PAILHAC Victor;3988;0,3;0,89;Ecologisme
Seine-et-Marne;OSER L'eCOLOGIE;PAILHAC Victor;5042;0,57;2,12;Ecologisme
Yvelines;OSER L'eCOLOGIE;PAILHAC Victor;5770;0,6;1,83;Ecologisme
Essonne;OSER L'eCOLOGIE;PAILHAC Victor;4913;0,62;2,1;Ecologisme
Hauts-de-Seine;OSER L'eCOLOGIE;PAILHAC Victor;5999;0,61;1,79;Ecologisme
Seine-Saint-Denis;OSER L'eCOLOGIE;PAILHAC Victor;3856;0,49;2,1;Ecologisme
Val-de-Marne;OSER L'eCOLOGIE;PAILHAC Victor;4840;0,62;2,11;Ecologisme
Val-d'Oise;OSER L'eCOLOGIE;PAILHAC Victor;4423;0,61;2,36;Ecologisme
Alpes-de-Haute-Provence;OUI LA PROVENCE!;GUERRERA Herve;1755;1,39;3,64;Gauche
Hautes-Alpes;OUI LA PROVENCE!;GUERRERA Herve;972;0,87;2,2;Gauche
Alpes-Maritimes;OUI LA PROVENCE!;GUERRERA Herve;4290;0,57;1,72;Gauche
Bouches-du-Rhone;OUI LA PROVENCE!;GUERRERA Herve;9155;0,66;2,14;Gauche
Var;OUI LA PROVENCE!;GUERRERA Herve;5701;0,72;2,26;Gauche
Vaucluse;OUI LA PROVENCE!;GUERRERA Herve;3336;0,83;2,49;Gauche
Guadeloupe;P G;BOREL-LINCERTIN Josette;15900;5,02;17,38;Gauche
Cher;PLUS FORT, ENSEMBLE !;BONNEAU Francois;18901;8,44;27,01;Gauche
Eure-et-Loir;PLUS FORT, ENSEMBLE !;BONNEAU Francois;19574;6,5;21,38;Gauche
Indre;PLUS FORT, ENSEMBLE !;BONNEAU Francois;13319;8,03;23,71;Gauche
Indre-et-Loire;PLUS FORT, ENSEMBLE !;BONNEAU Francois;32936;7,62;25,77;Gauche
Loir-et-Cher;PLUS FORT, ENSEMBLE !;BONNEAU Francois;17631;7,27;21,4;Gauche
Loiret;PLUS FORT, ENSEMBLE !;BONNEAU Francois;38775;8,61;27,52;Gauche
Ardennes;PLUS FORTS ENSEMBLE;ROTTNER Jean;23325;12,64;42,01;Droite
Aube;PLUS FORTS ENSEMBLE;ROTTNER Jean;22287;10,96;35,99;Droite
Marne;PLUS FORTS ENSEMBLE;ROTTNER Jean;41161;10,97;39,95;Droite
Haute-Marne;PLUS FORTS ENSEMBLE;ROTTNER Jean;15007;11,54;34,69;Droite
Meurthe-et-Moselle;PLUS FORTS ENSEMBLE;ROTTNER Jean;36328;7,46;26,31;Droite
Meuse;PLUS FORTS ENSEMBLE;ROTTNER Jean;13621;10,11;31,81;Droite
Moselle;PLUS FORTS ENSEMBLE;ROTTNER Jean;54787;7,39;29,17;Droite
Bas-Rhin;PLUS FORTS ENSEMBLE;ROTTNER Jean;61096;7,94;28;Droite
Haut-Rhin;PLUS FORTS ENSEMBLE;ROTTNER Jean;36735;6,97;25,72;Droite
Vosges;PLUS FORTS ENSEMBLE;ROTTNER Jean;31607;11,41;37,21;Droite
Cote-d'Or;POUR LA BOURGOGNE ET LA F;PLATRET Gilles;26606;7,43;21,42;Droite
Doubs;POUR LA BOURGOGNE ET LA F;PLATRET Gilles;22783;6,28;19,26;Droite
Jura;POUR LA BOURGOGNE ET LA F;PLATRET Gilles;13928;7,44;22,05;Droite
Nievre;POUR LA BOURGOGNE ET LA F;PLATRET Gilles;5183;3,36;10,38;Droite
Haute-Saone;POUR LA BOURGOGNE ET LA F;PLATRET Gilles;13226;7,49;19,81;Droite
Saone-et-Loire;POUR LA BOURGOGNE ET LA F;PLATRET Gilles;35656;8,93;28,68;Droite
Yonne;POUR LA BOURGOGNE ET LA F;PLATRET Gilles;14443;6,13;18,5;Droite
Territoire de Belfort;POUR LA BOURGOGNE ET LA F;PLATRET Gilles;5771;6,21;19,78;Droite
Aisne;UNION GAUCHE ECOLO;DELLI Karima;16676;4,48;13,4;Ecologisme
Nord;UNION GAUCHE ECOLO;DELLI Karima;118394;6,58;22,53;Ecologisme
Oise;UNION GAUCHE ECOLO;DELLI Karima;31216;5,58;17,9;Ecologisme
Pas-de-Calais;UNION GAUCHE ECOLO;DELLI Karima;61061;5,61;16,74;Ecologisme
Somme;UNION GAUCHE ECOLO;DELLI Karima;25057;6,16;17,74;Ecologisme
Cher;RASSEMBLEMENT NATIONAL;NIKOLIC Aleksandar;16672;7,45;23,82;Droite radicale et extreme droite
Eure-et-Loir;RASSEMBLEMENT NATIONAL;NIKOLIC Aleksandar;23303;7,73;25,46;Droite radicale et extreme droite
Indre;RASSEMBLEMENT NATIONAL;NIKOLIC Aleksandar;11979;7,22;21,33;Droite radicale et extreme droite
Indre-et-Loire;RASSEMBLEMENT NATIONAL;NIKOLIC Aleksandar;23592;5,46;18,46;Droite radicale et extreme droite
Loir-et-Cher;RASSEMBLEMENT NATIONAL;NIKOLIC Aleksandar;18259;7,53;22,16;Droite radicale et extreme droite
Loiret;RASSEMBLEMENT NATIONAL;NIKOLIC Aleksandar;32684;7,25;23,2;Droite radicale et extreme droite
Cote-d'Or;POUR UNE REGION QUI VOUS;ODOUL Julien;27353;7,63;22,02;Droite radicale et extreme droite
Doubs;POUR UNE REGION QUI VOUS;ODOUL Julien;26585;7,33;22,47;Droite radicale et extreme droite
Jura;POUR UNE REGION QUI VOUS;ODOUL Julien;12985;6,94;20,56;Droite radicale et extreme droite
Nievre;POUR UNE REGION QUI VOUS;ODOUL Julien;11500;7,44;23,03;Droite radicale et extreme droite
Haute-Saone;POUR UNE REGION QUI VOUS;ODOUL Julien;18011;10,19;26,98;Droite radicale et extreme droite
Saone-et-Loire;POUR UNE REGION QUI VOUS;ODOUL Julien;24672;6,18;19,85;Droite radicale et extreme droite
Yonne;POUR UNE REGION QUI VOUS;ODOUL Julien;23538;9,99;30,15;Droite radicale et extreme droite
Territoire de Belfort;POUR UNE REGION QUI VOUS;ODOUL Julien;6981;7,52;23,93;Droite radicale et extreme droite
Loire-Atlantique;POUR UNE REGION QUI VOUS;JUVIN Herve;33779;3,28;10,97;Droite radicale et extreme droite
Maine-et-Loire;POUR UNE REGION QUI VOUS;JUVIN Herve;19070;3,3;11,84;Droite radicale et extreme droite
Mayenne;POUR UNE REGION QUI VOUS;JUVIN Herve;7138;3,2;10,54;Droite radicale et extreme droite
Sarthe;POUR UNE REGION QUI VOUS;JUVIN Herve;16451;4,02;14,4;Droite radicale et extreme droite
Vendee;POUR UNE REGION QUI VOUS;JUVIN Herve;25513;4,77;15,72;Droite radicale et extreme droite
Calvados;POUR VOUS, AVEC VOUS;KERBARH Stephanie;1477;0,29;0,89;Centre
Eure;POUR VOUS, AVEC VOUS;KERBARH Stephanie;1292;0,3;0,96;Centre
Manche;POUR VOUS, AVEC VOUS;KERBARH Stephanie;890;0,23;0,76;Centre
Orne;POUR VOUS, AVEC VOUS;KERBARH Stephanie;698;0,34;1,04;Centre
Seine-Maritime;POUR VOUS, AVEC VOUS;KERBARH Stephanie;3614;0,41;1,34;Centre
Paris;POUVOIR VIVRE EN IDF;AUTAIN Clementine;52839;4;11,74;Gauche radicale et extreme gauche
Seine-et-Marne;POUVOIR VIVRE EN IDF;AUTAIN Clementine;19535;2,2;8,2;Gauche radicale et extreme gauche
Yvelines;POUVOIR VIVRE EN IDF;AUTAIN Clementine;17950;1,88;5,7;Gauche radicale et extreme gauche
Essonne;POUVOIR VIVRE EN IDF;AUTAIN Clementine;21989;2,76;9,42;Gauche radicale et extreme gauche
Hauts-de-Seine;POUVOIR VIVRE EN IDF;AUTAIN Clementine;26614;2,72;7,95;Gauche radicale et extreme gauche
Seine-Saint-Denis;POUVOIR VIVRE EN IDF;AUTAIN Clementine;36515;4,65;19,93;Gauche radicale et extreme gauche
Val-de-Marne;POUVOIR VIVRE EN IDF;AUTAIN Clementine;29933;3,81;13,08;Gauche radicale et extreme gauche
Val-d'Oise;POUVOIR VIVRE EN IDF;AUTAIN Clementine;17081;2,34;9,12;Gauche radicale et extreme gauche
Loire-Atlantique;PRINTEMPS DES PDL;GAROT Guillaume;55440;5,38;18;Gauche
Maine-et-Loire;PRINTEMPS DES PDL;GAROT Guillaume;18559;3,21;11,53;Gauche
Mayenne;PRINTEMPS DES PDL;GAROT Guillaume;24399;10,93;36,02;Gauche
Sarthe;PRINTEMPS DES PDL;GAROT Guillaume;16631;4,07;14,55;Gauche
Vendee;PRINTEMPS DES PDL;GAROT Guillaume;17664;3,31;10,89;Gauche
Alpes-de-Haute-Provence;DEBOUT LA FRANCE;CHUISANO Noël;1521;1,2;3,16;Droite radicale et extreme droite
Hautes-Alpes;DEBOUT LA FRANCE;CHUISANO Noël;1120;1;2,54;Droite radicale et extreme droite
Alpes-Maritimes;DEBOUT LA FRANCE;CHUISANO Noël;8182;1,08;3,28;Droite radicale et extreme droite
Bouches-du-Rhone;DEBOUT LA FRANCE;CHUISANO Noël;10367;0,75;2,42;Droite radicale et extreme droite
Var;DEBOUT LA FRANCE;CHUISANO Noël;6922;0,87;2,74;Droite radicale et extreme droite
Vaucluse;DEBOUT LA FRANCE;CHUISANO Noël;3092;0,77;2,31;Droite radicale et extreme droite
Calvados;RASSEMBLEMENT DE LA GAUCH;JUMEL Sebastien;9794;1,95;5,92;Gauche radicale et extreme gauche
Eure;RASSEMBLEMENT DE LA GAUCH;JUMEL Sebastien;9577;2,24;7,08;Gauche radicale et extreme gauche
Manche;RASSEMBLEMENT DE LA GAUCH;JUMEL Sebastien;6518;1,72;5,54;Gauche radicale et extreme gauche
Orne;RASSEMBLEMENT DE LA GAUCH;JUMEL Sebastien;3288;1,6;4,92;Gauche radicale et extreme gauche
Seine-Maritime;RASSEMBLEMENT DE LA GAUCH;JUMEL Sebastien;43600;5;16,16;Gauche radicale et extreme gauche
La Reunion;RASSEMBLEMENT NATIONAL;RIVIERE Joseph;4012;0,6;1,74;Droite radicale et extreme droite
Ardennes;RASSEMBLEMENT ACAL;JACOBELLI Laurent;12072;6,54;21,74;Droite radicale et extreme droite
Aube;RASSEMBLEMENT ACAL;JACOBELLI Laurent;15935;7,84;25,73;Droite radicale et extreme droite
Marne;RASSEMBLEMENT ACAL;JACOBELLI Laurent;23232;6,19;22,55;Droite radicale et extreme droite
Haute-Marne;RASSEMBLEMENT ACAL;JACOBELLI Laurent;11148;8,58;25,77;Droite radicale et extreme droite
Meurthe-et-Moselle;RASSEMBLEMENT ACAL;JACOBELLI Laurent;30225;6,21;21,89;Droite radicale et extreme droite
Meuse;RASSEMBLEMENT ACAL;JACOBELLI Laurent;10461;7,77;24,43;Droite radicale et extreme droite
Moselle;RASSEMBLEMENT ACAL;JACOBELLI Laurent;44898;6,06;23,91;Droite radicale et extreme droite
Bas-Rhin;RASSEMBLEMENT ACAL;JACOBELLI Laurent;36607;4,76;16,78;Droite radicale et extreme droite
Haut-Rhin;RASSEMBLEMENT ACAL;JACOBELLI Laurent;24758;4,69;17,34;Droite radicale et extreme droite
Vosges;RASSEMBLEMENT ACAL;JACOBELLI Laurent;18439;6,66;21,71;Droite radicale et extreme droite
Ariege;RASSEMBLER L'OCC;GARRAUD Jean-Paul;8269;7,03;17,38;Droite radicale et extreme droite
Aude;RASSEMBLER L'OCC;GARRAUD Jean-Paul;28559;10,42;27,69;Droite radicale et extreme droite
Aveyron;RASSEMBLER L'OCC;GARRAUD Jean-Paul;11381;5,23;12,74;Droite radicale et extreme droite
Gard;RASSEMBLER L'OCC;GARRAUD Jean-Paul;55218;10,16;31,75;Droite radicale et extreme droite
Haute-Garonne;RASSEMBLER L'OCC;GARRAUD Jean-Paul;53263;5,94;16,62;Droite radicale et extreme droite
Gers;RASSEMBLER L'OCC;GARRAUD Jean-Paul;10390;7,15;16,8;Droite radicale et extreme droite
Herault;RASSEMBLER L'OCC;GARRAUD Jean-Paul;74861;9,13;28,42;Droite radicale et extreme droite
Lot;RASSEMBLER L'OCC;GARRAUD Jean-Paul;5508;4,03;9,56;Droite radicale et extreme droite
Lozere;RASSEMBLER L'OCC;GARRAUD Jean-Paul;3687;6,21;13,62;Droite radicale et extreme droite
Hautes-Pyrenees;RASSEMBLER L'OCC;GARRAUD Jean-Paul;10466;5,94;15,81;Droite radicale et extreme droite
Pyrenees-Orientales;RASSEMBLER L'OCC;GARRAUD Jean-Paul;39516;11,16;33,25;Droite radicale et extreme droite
Tarn;RASSEMBLER L'OCC;GARRAUD Jean-Paul;22937;7,82;20,98;Droite radicale et extreme droite
Tarn-et-Garonne;RASSEMBLER L'OCC;GARRAUD Jean-Paul;17199;9,29;24,5;Droite radicale et extreme droite
Martinique;RENAISSANCE MARTINIQUE;ORVILLE Max;1379;0,45;1,44;Centre
Martinique;RESPE;SELLAYE Marcel;661;0,22;0,69;Gauche radicale et extreme gauche
Guadeloupe;R LA G;PETRO Sonia, Iabelle;3370;1,06;3,68;Droite
Aisne;SE BATTRE POUR VOUS !;BERTRAND Xavier;60676;16,31;48,75;Droite
Nord;SE BATTRE POUR VOUS !;BERTRAND Xavier;204548;11,36;38,93;Droite
Oise;SE BATTRE POUR VOUS !;BERTRAND Xavier;73145;13,07;41,94;Droite
Pas-de-Calais;SE BATTRE POUR VOUS !;BERTRAND Xavier;150433;13,82;41,24;Droite
Somme;SE BATTRE POUR VOUS !;BERTRAND Xavier;62266;15,32;44,08;Droite
Guadeloupe;S G;CORIOLAN Eric;2638;0,83;2,88;Autre
Ardennes;STOP GRAND EST;MEYER Martin;350;0,19;0,63;Centre
Aube;STOP GRAND EST;MEYER Martin;7;0;0,01;Centre
Marne;STOP GRAND EST;MEYER Martin;579;0,15;0,56;Centre
Haute-Marne;STOP GRAND EST;MEYER Martin;439;0,34;1,01;Centre
Meurthe-et-Moselle;STOP GRAND EST;MEYER Martin;939;0,19;0,68;Centre
Meuse;STOP GRAND EST;MEYER Martin;393;0,29;0,92;Centre
Moselle;STOP GRAND EST;MEYER Martin;2282;0,31;1,22;Centre
Bas-Rhin;STOP GRAND EST;MEYER Martin;21457;2,79;9,83;Centre
Haut-Rhin;STOP GRAND EST;MEYER Martin;12381;2,35;8,67;Centre
Vosges;STOP GRAND EST;MEYER Martin;741;0,27;0,87;Centre
Martinique;TOUS POUR LA MARTINIQUE;MONPLAISIR Ralph Donald Yves;1042;0,34;1,09;Centre
Cotes-d'Armor;TOUS UNIS;ELAHIAR Kamel;100;0,02;0,06;Centre
Finistere;TOUS UNIS;ELAHIAR Kamel;214;0,03;0,09;Centre
Ille-et-Vilaine;TOUS UNIS;ELAHIAR Kamel;442;0,06;0,18;Centre
Morbihan;TOUS UNIS;ELAHIAR Kamel;274;0,05;0,14;Centre
Cotes-d'Armor;UN NoTRE MONDE;DAVIET Christophe;838;0,18;0,49;Autre
Finistere;UN NoTRE MONDE;DAVIET Christophe;1320;0,19;0,56;Autre
Ille-et-Vilaine;UN NoTRE MONDE;DAVIET Christophe;931;0,12;0,37;Autre
Morbihan;UN NoTRE MONDE;DAVIET Christophe;1109;0,19;0,57;Autre
Alpes-de-Haute-Provence;UN NoTRE MONDE;VINCENZI Mikael;129;0,1;0,27;Autre
Hautes-Alpes;UN NoTRE MONDE;VINCENZI Mikael;52;0,05;0,12;Autre
Alpes-Maritimes;UN NoTRE MONDE;VINCENZI Mikael;1071;0,14;0,43;Autre
Bouches-du-Rhone;UN NoTRE MONDE;VINCENZI Mikael;701;0,05;0,16;Autre
Var;UN NoTRE MONDE;VINCENZI Mikael;617;0,08;0,24;Autre
Vaucluse;UN NoTRE MONDE;VINCENZI Mikael;268;0,07;0,2;Autre
Loire-Atlantique;UN NoTRE MONDE;RIGAUDEAU Linda;2674;0,26;0,87;Autre
Maine-et-Loire;UN NoTRE MONDE;RIGAUDEAU Linda;567;0,1;0,35;Autre
Mayenne;UN NoTRE MONDE;RIGAUDEAU Linda;271;0,12;0,4;Autre
Sarthe;UN NoTRE MONDE;RIGAUDEAU Linda;495;0,12;0,43;Autre
Vendee;UN NoTRE MONDE;RIGAUDEAU Linda;838;0,16;0,52;Autre
Corse-du-Sud;UN SOFFIU NOVU;MARCANGELI Laurent;18607;16,58;29,9;Droite
Haute-Corse;UN SOFFIU NOVU;MARCANGELI Laurent;14825;11,62;20,52;Droite
Cotes-d'Armor;RASSEMBLEMENT NATIONAL;PENNELLE Gilles;24009;5,21;14,01;Droite radicale et extreme droite
Finistere;RASSEMBLEMENT NATIONAL;PENNELLE Gilles;32501;4,69;13,8;Droite radicale et extreme droite
Ille-et-Vilaine;RASSEMBLEMENT NATIONAL;PENNELLE Gilles;31627;4,23;12,7;Droite radicale et extreme droite
Morbihan;RASSEMBLEMENT NATIONAL;PENNELLE Gilles;33315;5,62;17,05;Droite radicale et extreme droite
Charente;URSF-RN;DIAZ Edwige;15617;6,15;19,57;Droite radicale et extreme droite
Charente-Maritime;URSF-RN;DIAZ Edwige;35210;7,01;21,81;Droite radicale et extreme droite
Correze;URSF-RN;DIAZ Edwige;10858;5,92;15,05;Droite radicale et extreme droite
Creuse;URSF-RN;DIAZ Edwige;5188;5,72;15,55;Droite radicale et extreme droite
Dordogne;URSF-RN;DIAZ Edwige;23170;7,43;19,42;Droite radicale et extreme droite
Gironde;URSF-RN;DIAZ Edwige;69084;6,2;19,12;Droite radicale et extreme droite
Landes;URSF-RN;DIAZ Edwige;18950;5,95;15,43;Droite radicale et extreme droite
Lot-et-Garonne;URSF-RN;DIAZ Edwige;20914;8,77;23,71;Droite radicale et extreme droite
Pyrenees-Atlantiques;URSF-RN;DIAZ Edwige;25291;5;13,5;Droite radicale et extreme droite
Deux-Sevres;URSF-RN;DIAZ Edwige;13552;5,03;16,73;Droite radicale et extreme droite
Vienne;URSF-RN;DIAZ Edwige;17753;5,87;18,48;Droite radicale et extreme droite
Haute-Vienne;URSF-RN;DIAZ Edwige;16184;6,22;17,82;Droite radicale et extreme droite
Aisne;UNE REGION FIERE FORTE;EVRARD Jose;2334;0,63;1,88;Droite radicale et extreme droite
Nord;UNE REGION FIERE FORTE;EVRARD Jose;9758;0,54;1,86;Droite radicale et extreme droite
Oise;UNE REGION FIERE FORTE;EVRARD Jose;3930;0,7;2,25;Droite radicale et extreme droite
Pas-de-Calais;UNE REGION FIERE FORTE;EVRARD Jose;8378;0,77;2,3;Droite radicale et extreme droite
Somme;UNE REGION FIERE FORTE;EVRARD Jose;2805;0,69;1,99;Droite radicale et extreme droite
Aisne;AVEC SEBASTIEN CHENU;CHENU Sebastien;32285;8,68;25,94;Droite radicale et extreme droite
Nord;AVEC SEBASTIEN CHENU;CHENU Sebastien;119248;6,62;22,69;Droite radicale et extreme droite
Oise;AVEC SEBASTIEN CHENU;CHENU Sebastien;44384;7,93;25,45;Droite radicale et extreme droite
