election_year,incumbent_bloc,reelection
1969,Droite,1
1974,Droite,0
1981,Centre,0
1988,Gauche,1
1995,Gauche,0
2002,Droite,1
2007,Droite,0
2012,Droite,1
2017,Gauche,0
2022,Centre,1
