"","candidate","candidate_short_id"
"1","_Abstention",1
"2","_Abstention",2
"3","Alliot Marie",3
"4","Autain",4
"5","Bayrou",5
"6","Besancenot",6
"7","Bove",7
"8","Braouezec",8
"9","Buffet",9
"10","Chevenement",10
"11","Chirac",11
"12","Dupont Aignan",12
"13","Emmanuelli",13
"14","Fabius",14
"15","Hollande",15
"16","Hulot",16
"17","Jospin",17
"18","Laguiller",18
"19","Lang",19
"20","Le Pen",20
"21","Lepage",21
"22","Mamere",22
"23","Melenchon",23
"24","Nihous",24
"25","Royal",25
"26","Sarkozy",26
"27","Schivardi",27
"28","Strauss Kahn",28
"29","Taubira",29
"30","Villepin",30
"31","Villiers",31
"32","Voynet",32
