"","pollName","pollster_id"
"1","3%",1
"2","BVA",2
"3","CSA",3
"4","Harris Interactive",4
"5","Ifop",5
"6","Ipsos",6
"7","LH2",7
"8","OpinionWay",8
"9","TNS Sofres",9
