"","long_name","candidate_long_id"
"1","_Abstention",1
"2","Arlette Laguiller",2
"3","Dominique Voynet",3
"4","Federic Nihous",4
"5","Francois Bayrou",5
"6","Gerad Schivardi",6
"7","Jean-Marie Le Pen",7
"8","Jose Bove",8
"9","Marie-George Buffet",9
"10","Nicolas Sarkozy",10
"11","Olivier Besancenot",11
"12","Philippe de Villiers",12
"13","Segolene Royal",13
