candidate,percentage
Nathalie Arthaud,0.0046662
Philippe Poutou,0.0085547
Jean-Luc Mélenchon,0.1524292
Benoit Hamon,0.04977279999999999
Emmanuel Macron,0.186648
Jean Lassalle,0.0093324
François Fillon,0.15554
Nicolas Dupont-Aignan,0.0365519
Marine Le Pen,0.16565009999999997
Jacques Cheminade,0.0015553999999999998
François Asselineau,0.006999300000000001
_Abstention,0.2223
