"","candidate","candidate_short_id"
"1","_Abstention",1
"2","Arthaud",2
"3","Aubry",3
"4","Bayrou",4
"5","Besancenot",5
"6","Borloo",6
"7","Boutin",7
"8","Bove",8
"9","Buffet",9
"10","Cheminade",10
"11","Chevenement",11
"12","Cope",12
"13","Delanoe",13
"14","Duflot",14
"15","Dupont Aignan",15
"16","Fabius",16
"17","Fillon",17
"18","Hollande",18
"19","Hulot",19
"20","Joly",20
"21","Juppe",21
"22","Laguiller",22
"23","Le Pen",23
"24","Lepage",24
"25","Martin",25
"26","Melenchon",26
"27","Montebourg",27
"28","Morin",28
"29","Nihous",29
"30","Poutou",30
"31","Royal",31
"32","Sarkozy",32
"33","Schivardi",33
"34","Strauss Kahn",34
"35","Tapie",35
"36","Villepin",36
"37","Villiers",37
"38","Voynet",38
"39","X nominee.",39
