"","date","unemployment","year","quarter"
"149",2012-01-01,9.5,2012,1
"150",2012-04-01,9.7,2012,2
"151",2012-07-01,9.8,2012,3
"152",2012-10-01,10.2,2012,4
"153",2013-01-01,10.3,2013,1
"154",2013-04-01,10.5,2013,2
"155",2013-07-01,10.3,2013,3
"156",2013-10-01,10.1,2013,4
"157",2014-01-01,10.1,2014,1
"158",2014-04-01,10.2,2014,2
"159",2014-07-01,10.3,2014,3
"160",2014-10-01,10.5,2014,4
"161",2015-01-01,10.3,2015,1
"162",2015-04-01,10.5,2015,2
"163",2015-07-01,10.4,2015,3
"164",2015-10-01,10.2,2015,4
"165",2016-01-01,10.2,2016,1
"166",2016-04-01,10,2016,2
"167",2016-07-01,9.9,2016,3
"168",2016-10-01,10,2016,4
"169",2017-01-01,9.6,2017,1
"170",2017-04-01,9.5,2017,2
"171",2017-07-01,9.5,2017,3
"172",2017-10-01,9,2017,4
"173",2018-01-01,9.3,2018,1
"174",2018-04-01,9.1,2018,2
"175",2018-07-01,9,2018,3
"176",2018-10-01,8.7,2018,4
"177",2019-01-01,8.7,2019,1
"178",2019-04-01,8.4,2019,2
"179",2019-07-01,8.5,2019,3
"180",2019-10-01,8.1,2019,4
"181",2020-01-01,7.8,2020,1
"182",2020-04-01,7.2,2020,2
"183",2020-07-01,9.1,2020,3
"184",2020-10-01,8,2020,4
"185",2021-01-01,8.1,2021,1
"186",2021-04-01,8,2021,2
