pollName,dates,sampleSize,Abs.,Chirac,Le Pen
CSA,3-May-02,"1,000",–,80%,20%
Ipsos,30 Apr–2 May 2002,"1,012",–,79%,21%
Ipsos,26–27 Apr 2002,922,–,78%,22%
CSA,23–24 Apr 2002,"1,000",–,81%,19%
CSA,21-Apr-02,"1,000",–,77%,23%
Ipsos,21-Apr-02,"1,043",–,80%,20%
Sofres,21-Apr-02,"1,000",–,78%,22%
